id;name;thumbnail;weight;height;hair_color
1;Tobus Quickwhistle;http://www.publicdomainpictures.net/pictures/10000/nahled/thinking-monkey-11282237747K8xB.jpg;39.065952;107.75835;Pink
2;Fizkin Voidbuster;http://www.publicdomainpictures.net/pictures/120000/nahled/white-hen.jpg;35.279167;110.43628;Green
3;Malbin Chromerocket;http://www.publicdomainpictures.net/pictures/30000/nahled/maple-leaves-background.jpg;35.88665;106.14395;Red
4;Midwig Gyroslicer;http://www.publicdomainpictures.net/pictures/10000/nahled/1-1275919724d1Oh.jpg;40.97596;127.88554;Red
5;Malbin Magnaweaver;http://www.publicdomainpictures.net/pictures/10000/nahled/zebra-head-11281366876AZ3M.jpg;43.506973;101.6974;Black
6;Zedkin Quickbuster;http://www.publicdomainpictures.net/pictures/10000/nahled/1-1193219094.jpg;38.742382;91.54829;Red
7;Emmadette Gimbalpower;http://www.publicdomainpictures.net/pictures/20000/nahled/stingray.jpg;40.681095;98.701645;Green
8;Twizzle Chrometossle;http://www.publicdomainpictures.net/pictures/10000/nahled/1-1275919724d1Oh.jpg;38.953087;96.0678;Red
9;Malbert Tinkbuster;http://www.publicdomainpictures.net/pictures/10000/velka/1-1248161543llOC.jpg;41.159805;118.27941;Gray
10;Kinthony Nozzlebooster;http://www.publicdomainpictures.net/pictures/20000/nahled/baby-lamb.jpg;41.024612;113.56545;Red
11;Cogwitz Nozzleratchet;http://www.publicdomainpictures.net/pictures/20000/nahled/baby-lamb.jpg;35.761913;99.0099;Red
12;Malbert Quicklauncher;http://www.publicdomainpictures.net/pictures/10000/velka/1-12445363126Swx.jpg;37.947;119.25682;Pink
13;Ecki Fussspackle;http://www.publicdomainpictures.net/pictures/10000/nahled/zebra-head-11281366876AZ3M.jpg;44.89405;94.40361;Black
14;Tobus Nozzletink;http://www.publicdomainpictures.net/pictures/120000/velka/cactus-1430656432Iug.jpg;36.732063;129.37299;Green
15;Emmadette Quickrocket;http://www.publicdomainpictures.net/pictures/10000/velka/1-1229281026TsmM.jpg;44.390076;93.435585;Black
16;Tobus Bitterlauncher;http://www.publicdomainpictures.net/pictures/10000/velka/1-1213888416aeXz.jpg;35.5931;125.683914;Gray
17;Libalia Chillgrill;http://www.publicdomainpictures.net/pictures/10000/nahled/1-1275897675Dsss.jpg;42.57595;122.15734;Gray
18;Whitwright Magnaspackle;http://www.publicdomainpictures.net/pictures/20000/nahled/snowy-owl-11294429170yBc.jpg;37.255947;121.79269;Pink
19;Minabonk Voidslicer;http://www.publicdomainpictures.net/pictures/20000/nahled/squirrel-in-winter-11298746828jAB.jpg;39.57134;113.03983;Red
20;Fizkin Switchbuster;http://www.publicdomainpictures.net/pictures/20000/nahled/scarlet-macaw.jpg;43.642155;108.80238;Pink
21;Tinadette Magnarocket;http://www.publicdomainpictures.net/pictures/10000/nahled/1-1248160685P7iJ.jpg;35.90778;97.65068;Pink
22;Malbin Magnaratchet;http://www.publicdomainpictures.net/pictures/10000/nahled/1-1248160685P7iJ.jpg;36.01279;95.41191;Pink
23;Whitwright Switchslicer;http://www.publicdomainpictures.net/pictures/10000/velka/87-1276689971v1i2.jpg;36.311447;127.32514;Green
24;Kinthony Fussbuster;http://www.publicdomainpictures.net/pictures/20000/nahled/stingray.jpg;38.362137;91.46152;Black
25;Milli Mystbooster;http://www.publicdomainpictures.net/pictures/10000/nahled/87-1275907843WDxT.jpg;43.04644;123.22076;Red
26;Midwig Bitterrocket;http://www.publicdomainpictures.net/pictures/10000/nahled/87-1275907843WDxT.jpg;40.8437;91.4461;Red
27;Ecki Wrongbuster;http://www.publicdomainpictures.net/pictures/20000/velka/squirrel-in-winter-11298746828jAB.jpg;38.465824;92.3993;Green
28;Milli Clankswhistle;http://www.publicdomainpictures.net/pictures/10000/velka/chilli.jpg;35.82959;105.59678;Green
29;Malbin Bitterbuster;http://www.publicdomainpictures.net/pictures/50000/velka/white-lion-cub-1369509546XbK.jpg;37.6401;117.988144;Black
